,class,address
696,1,/home/sanchit/Desktop/app/manual_dataset/1/IMG-20190917-WA0016.jpg
41136,5.182,/home/sanchit/Desktop/app/Selfie-dataset/images/925473_1405361769736285_1747414548_a.jpg
4779,3.737,/home/sanchit/Desktop/app/Selfie-dataset/images/10011469_231398697053411_1488775483_a.jpg
34527,4.818,/home/sanchit/Desktop/app/Selfie-dataset/images/1527760_659794500759562_70561848_a.jpg
9121,4.153,/home/sanchit/Desktop/app/Selfie-dataset/images/10175157_695382467167322_1311384737_a.jpg
38828,5.256,/home/sanchit/Desktop/app/Selfie-dataset/images/1941272_641922932546132_2142161779_a.jpg
15186,4.409,/home/sanchit/Desktop/app/Selfie-dataset/images/10246127_710143162379993_712859914_a.jpg
20567,4.713,/home/sanchit/Desktop/app/Selfie-dataset/images/10254101_683226761734373_968960840_a.jpg
6837,4.02,/home/sanchit/Desktop/app/Selfie-dataset/images/10013129_1424510337799018_2141874715_a.jpg
40722,3.568,/home/sanchit/Desktop/app/Selfie-dataset/images/925242_831288170219248_83147319_a.jpg
37840,3.876,/home/sanchit/Desktop/app/Selfie-dataset/images/1889151_227436330796362_1228135899_a.jpg
14299,4.035,/home/sanchit/Desktop/app/Selfie-dataset/images/10246060_1421216098137195_805261151_a.jpg
39353,5.215,/home/sanchit/Desktop/app/Selfie-dataset/images/1963199_478378165597180_431653114_a.jpg
16535,4.633,/home/sanchit/Desktop/app/Selfie-dataset/images/10249089_535844046528647_29222261_a.jpg
603,1,/home/sanchit/Desktop/app/manual_dataset/1/IMG_20200212_225401.jpg
330,2.0,/home/sanchit/Desktop/app/blurData/defocused_blurred/287_WILEYFOX-SWIFT-2-PLUS_F.jpg
62,3.629,/home/sanchit/Desktop/app/Selfie-dataset/images/10004084_490479724385550_825223763_a.jpg
23943,5.131,/home/sanchit/Desktop/app/Selfie-dataset/images/10261211_500562206717207_226010375_a.jpg
8594,3.585,/home/sanchit/Desktop/app/Selfie-dataset/images/10175112_300467436770720_885976519_a.jpg
513,2,/home/sanchit/Desktop/app/manual_dataset/2/IMG-20200822-WA0038.jpg
4388,4.456,/home/sanchit/Desktop/app/Selfie-dataset/images/10011389_472710736190287_402439649_a.jpg
32696,5.131,/home/sanchit/Desktop/app/Selfie-dataset/images/1516596_266675100170245_178964368_a.jpg
15279,3.521,/home/sanchit/Desktop/app/Selfie-dataset/images/10246135_1410020802598003_937326070_a.jpg
15619,2.525,/home/sanchit/Desktop/app/Selfie-dataset/images/10246161_561969533922676_2064994301_a.jpg
43780,4.211,/home/sanchit/Desktop/app/Selfie-dataset/images/927262_239996369536569_1818094266_a.jpg
30615,2.888,/home/sanchit/Desktop/app/Selfie-dataset/images/1515607_1484552651760249_611947685_a.jpg
683,1,/home/sanchit/Desktop/app/manual_dataset/1/IMG-20200830-WA0008.jpg
3220,4.493,/home/sanchit/Desktop/app/Selfie-dataset/images/10011178_1484131378469584_1241109933_a.jpg
17596,5.27,/home/sanchit/Desktop/app/Selfie-dataset/images/10249169_490557644378286_1101470279_a.jpg
12502,4.604,/home/sanchit/Desktop/app/Selfie-dataset/images/10245919_234869706701878_1595077914_a.jpg
26631,3.923,/home/sanchit/Desktop/app/Selfie-dataset/images/1171650_307802506040153_1976896444_a.jpg
28124,5.242,/home/sanchit/Desktop/app/Selfie-dataset/images/1172194_854019764613319_98630397_a.jpg
503,2,/home/sanchit/Desktop/app/fashionData/badSamples/img_00005738.jpg
5721,5.353,/home/sanchit/Desktop/app/Selfie-dataset/images/10012572_728886980496448_1463871909_a.jpg
206,2.0,/home/sanchit/Desktop/app/blurData/defocused_blurred/111_IPHONE-7_F.jpeg
45044,3.835,/home/sanchit/Desktop/app/Selfie-dataset/images/928224_1409030309363168_313062069_a.jpg
21319,4.271,/home/sanchit/Desktop/app/Selfie-dataset/images/10254179_232024833672921_682684466_a.jpg
606,2,/home/sanchit/Desktop/app/fashionData/badSamples/img_00048894.jpg
2951,4.272,/home/sanchit/Desktop/app/Selfie-dataset/images/10009906_280457355452935_1910335669_a.jpg
28845,3.884,/home/sanchit/Desktop/app/Selfie-dataset/images/1209671_237139839811174_1993076933_a.jpg
23871,4.98,/home/sanchit/Desktop/app/Selfie-dataset/images/10261199_137266003110421_174100834_a.jpg
4243,3.575,/home/sanchit/Desktop/app/Selfie-dataset/images/10011360_751515348204362_2084358514_a.jpg
801,5.544,/home/sanchit/Desktop/app/Selfie-dataset/images/10005462_673024336078528_890546909_a.jpg
15650,4.722,/home/sanchit/Desktop/app/Selfie-dataset/images/10246163_767048096662900_1052455227_a.jpg
25545,5.426,/home/sanchit/Desktop/app/Selfie-dataset/images/1170332_302251013259441_1068485626_a.jpg
18103,3.883,/home/sanchit/Desktop/app/Selfie-dataset/images/10251424_709893642366491_459355826_a.jpg
30160,4.075,/home/sanchit/Desktop/app/Selfie-dataset/images/1515190_574654322633190_822572905_a.jpg
45520,4.571,/home/sanchit/Desktop/app/Selfie-dataset/images/928498_711281205596964_281833669_a.jpg
10758,3.949,/home/sanchit/Desktop/app/Selfie-dataset/images/10175295_313281545491364_669438056_a.jpg
44956,5.108,/home/sanchit/Desktop/app/Selfie-dataset/images/928180_585453958228857_1120392857_a.jpg
2780,4.122,/home/sanchit/Desktop/app/Selfie-dataset/images/10009860_1395690554042903_676277415_a.jpg
24755,3.758,/home/sanchit/Desktop/app/Selfie-dataset/images/1168763_735018803185897_1278739668_a.jpg
7,7,/home/sanchit/Desktop/app/manual_dataset/5/FB_IMG_1536072206029.jpg
319,6,/home/sanchit/Desktop/app/manual_dataset/4/IMG_20200111_165034_700.jpg
24271,5.22,/home/sanchit/Desktop/app/Selfie-dataset/images/10261268_629718447116528_604224884_a.jpg
8796,1.771,/home/sanchit/Desktop/app/Selfie-dataset/images/10175131_816292741733174_1127013803_a.jpg
502,2,/home/sanchit/Desktop/app/manual_dataset/2/IMG_20200228_201301.jpg
41183,3.762,/home/sanchit/Desktop/app/Selfie-dataset/images/925476_1386617111618270_543936561_a.jpg
16056,4.433,/home/sanchit/Desktop/app/Selfie-dataset/images/10246197_643438602371628_922945668_a.jpg
24843,4.919,/home/sanchit/Desktop/app/Selfie-dataset/images/1168794_721341704553953_1230379760_a.jpg
24554,2.736,/home/sanchit/Desktop/app/Selfie-dataset/images/10261319_502993766479092_553041981_a.jpg
857,7,/home/sanchit/Desktop/app/menWomen/men/00000972.jpg
26464,5.083,/home/sanchit/Desktop/app/Selfie-dataset/images/1171231_488894801240000_1816681996_a.jpg
406,1,/home/sanchit/Desktop/app/fashionData/badSamples/img_00045185.jpg
40398,3.589,/home/sanchit/Desktop/app/Selfie-dataset/images/925219_700687346641179_1886176791_a.jpg
3664,3.441,/home/sanchit/Desktop/app/Selfie-dataset/images/10011261_687964384600489_2159015_a.jpg
39270,5.52,/home/sanchit/Desktop/app/Selfie-dataset/images/1963172_224569391074268_2113129900_a.jpg
13974,5.081,/home/sanchit/Desktop/app/Selfie-dataset/images/10246032_709428059120248_478616022_a.jpg
15963,4.965,/home/sanchit/Desktop/app/Selfie-dataset/images/10246190_781692815175154_408499261_a.jpg
2325,6,/home/sanchit/Desktop/app/fashionData/goodSamples/img_00046719.jpg
4396,3.837,/home/sanchit/Desktop/app/Selfie-dataset/images/10011390_623372867731556_670652537_a.jpg
405,2,/home/sanchit/Desktop/app/fashionData/badSamples/img_00052345.jpg
11837,4.157,/home/sanchit/Desktop/app/Selfie-dataset/images/10175380_1407690592836302_302906322_a.jpg
23208,3.871,/home/sanchit/Desktop/app/Selfie-dataset/images/10261065_301595033324902_2064924748_a.jpg
42578,3.619,/home/sanchit/Desktop/app/Selfie-dataset/images/926445_616921941711270_379478216_a.jpg
329,6,/home/sanchit/Desktop/app/manual_dataset/4/IMG_20190706_200317.jpg
98,4,/home/sanchit/Desktop/app/manual_dataset/3/IMG_20210225_210627.jpg
10346,5.275,/home/sanchit/Desktop/app/Selfie-dataset/images/10175260_267427516764168_1450106351_a.jpg
41108,2.248,/home/sanchit/Desktop/app/Selfie-dataset/images/925470_1439815922931555_443407438_a.jpg
12496,3.672,/home/sanchit/Desktop/app/Selfie-dataset/images/10245918_1425718441010792_509331289_a.jpg
35926,4.094,/home/sanchit/Desktop/app/Selfie-dataset/images/1538567_1481842038694276_1852339673_a.jpg
35282,4.638,/home/sanchit/Desktop/app/Selfie-dataset/images/1530854_1376602525948087_275279040_a.jpg
672,7,/home/sanchit/Desktop/app/menWomen/men/00000788.jpg
30477,5.322,/home/sanchit/Desktop/app/Selfie-dataset/images/1515256_641650575908740_1509904456_a.jpg
1192,7,/home/sanchit/Desktop/app/menWomen/men/00001412.jpg
41381,4.027,/home/sanchit/Desktop/app/Selfie-dataset/images/925826_600794520010774_1157324975_a.jpg
22653,5.061,/home/sanchit/Desktop/app/Selfie-dataset/images/10254323_1470777963152473_363602309_a.jpg
14651,5.208,/home/sanchit/Desktop/app/Selfie-dataset/images/10246087_423455457791084_451788019_a.jpg
6264,5.004,/home/sanchit/Desktop/app/Selfie-dataset/images/10013032_768970993122663_583051154_a.jpg
6949,5.77,/home/sanchit/Desktop/app/Selfie-dataset/images/10013142_607981379280837_1258582155_a.jpg
8964,4.341,/home/sanchit/Desktop/app/Selfie-dataset/images/10175144_213781815497657_514579023_a.jpg
14591,5.068,/home/sanchit/Desktop/app/Selfie-dataset/images/10246082_751656321552085_183692886_a.jpg
487,7,/home/sanchit/Desktop/app/fashionData/goodSamples/img_00033342.jpg
36687,4.7,/home/sanchit/Desktop/app/Selfie-dataset/images/1662139_1423603917894477_1974595369_a.jpg
32597,3.824,/home/sanchit/Desktop/app/Selfie-dataset/images/1516546_226186994247505_810839428_a.jpg
17217,3.97,/home/sanchit/Desktop/app/Selfie-dataset/images/10249142_1466951050202949_713895667_a.jpg
573,3,/home/sanchit/Desktop/app/fashionData/badSamples/img_00033705.jpg
43409,3.066,/home/sanchit/Desktop/app/Selfie-dataset/images/927037_711994722193917_1411047258_a.jpg
37708,4.494,/home/sanchit/Desktop/app/Selfie-dataset/images/1799680_275969162580458_1282416931_a.jpg
32227,4.246,/home/sanchit/Desktop/app/Selfie-dataset/images/1516263_181727792027006_903515986_a.jpg
25810,3.971,/home/sanchit/Desktop/app/Selfie-dataset/images/1170450_834695489890310_1084849306_a.jpg
16816,5.627,/home/sanchit/Desktop/app/Selfie-dataset/images/10249111_238815229656054_410356174_a.jpg
5635,4.452,/home/sanchit/Desktop/app/Selfie-dataset/images/10012552_227283537479775_1353796976_a.jpg
11389,4.989,/home/sanchit/Desktop/app/Selfie-dataset/images/10175344_655816727801063_1500699587_a.jpg
19062,4.471,/home/sanchit/Desktop/app/Selfie-dataset/images/10251501_1388743908073321_2687779_a.jpg
25820,5.039,/home/sanchit/Desktop/app/Selfie-dataset/images/1170456_479521062177143_281095646_a.jpg
340,6,/home/sanchit/Desktop/app/manual_dataset/4/IMG-20200515-WA0033.jpg
21808,3.659,/home/sanchit/Desktop/app/Selfie-dataset/images/10254231_1437717459806966_361837417_a.jpg
26332,3.5,/home/sanchit/Desktop/app/Selfie-dataset/images/1171156_1435876579985961_1616612869_a.jpg
45320,5.024,/home/sanchit/Desktop/app/Selfie-dataset/images/928484_136822639821453_873116060_a.jpg
34936,3.267,/home/sanchit/Desktop/app/Selfie-dataset/images/1530731_1424902731100486_412548792_a.jpg
9416,6.161,/home/sanchit/Desktop/app/Selfie-dataset/images/10175182_455949261203247_196448783_a.jpg
33858,5.505,/home/sanchit/Desktop/app/Selfie-dataset/images/1527537_299264243556620_2085664558_a.jpg
221,2.0,/home/sanchit/Desktop/app/blurData/defocused_blurred/64_SAMSUNG-GALAXY-S5_F.jpg
40,2,/home/sanchit/Desktop/app/fashionData/badSamples/img_00038815.jpg
33226,5.769,/home/sanchit/Desktop/app/Selfie-dataset/images/1516833_434359359999764_1250325926_a.jpg
34184,4.554,/home/sanchit/Desktop/app/Selfie-dataset/images/1527681_639984576071988_1574364067_a.jpg
40465,3.529,/home/sanchit/Desktop/app/Selfie-dataset/images/925224_668383336531712_398527496_a.jpg
131,4,/home/sanchit/Desktop/app/manual_dataset/3/IMG_20191008_205852.jpg
3186,7,/home/sanchit/Desktop/app/fashionData/goodSamples/img_00015139.jpg
915,7,/home/sanchit/Desktop/app/menWomen/men/00001288.jpg
475,2,/home/sanchit/Desktop/app/fashionData/badSamples/img_00034552.jpg
965,7,/home/sanchit/Desktop/app/menWomen/men/00000871.jpg
1381,7,/home/sanchit/Desktop/app/menWomen/women/00001048.jpg
40,1.0,/home/sanchit/Desktop/app/blurData/motion_blurred/140_SAMSUNG-GALAXY-J5_M.jpg
36339,4.397,/home/sanchit/Desktop/app/Selfie-dataset/images/1597161_1389737004624956_325519357_a.jpg
27156,4.967,/home/sanchit/Desktop/app/Selfie-dataset/images/1171952_697190276986245_355257055_a.jpg
9437,4.366,/home/sanchit/Desktop/app/Selfie-dataset/images/10175184_1493134264240059_1685688888_a.jpg
21962,4.918,/home/sanchit/Desktop/app/Selfie-dataset/images/10254246_683761355000062_880075008_a.jpg
21963,2.791,/home/sanchit/Desktop/app/Selfie-dataset/images/10254246_716314928420636_651387330_a.jpg
1411,7,/home/sanchit/Desktop/app/menWomen/men/00002146.jpg
7994,5.218,/home/sanchit/Desktop/app/Selfie-dataset/images/10013319_453528021447917_1615957979_a.jpg
6629,5.292,/home/sanchit/Desktop/app/Selfie-dataset/images/10013096_492096740916019_18901097_a.jpg
12349,5.103,/home/sanchit/Desktop/app/Selfie-dataset/images/10245907_1427107174206820_1006865616_a.jpg
17521,3.57,/home/sanchit/Desktop/app/Selfie-dataset/images/10249164_1491373914415731_2061079627_a.jpg
23551,5.431,/home/sanchit/Desktop/app/Selfie-dataset/images/10261135_226628184202178_266333877_a.jpg
37805,4.92,/home/sanchit/Desktop/app/Selfie-dataset/images/1889097_293684354129222_1929849965_a.jpg
9495,4.589,/home/sanchit/Desktop/app/Selfie-dataset/images/10175190_1379625545631238_2135850845_a.jpg
3162,4.138,/home/sanchit/Desktop/app/Selfie-dataset/images/10011170_226574680870336_1346172109_a.jpg
704,1,/home/sanchit/Desktop/app/manual_dataset/1/IMG_20200803_131940.jpg
806,7,/home/sanchit/Desktop/app/menWomen/men/00000234.jpg
4271,3.228,/home/sanchit/Desktop/app/Selfie-dataset/images/10011368_537340193045032_1906056910_a.jpg
994,7,/home/sanchit/Desktop/app/menWomen/men/00001454.png
1418,3.956,/home/sanchit/Desktop/app/Selfie-dataset/images/10005660_502498909854123_2087528467_a.jpg
23205,3.811,/home/sanchit/Desktop/app/Selfie-dataset/images/10261064_616474268444480_494394983_a.jpg
18057,4.311,/home/sanchit/Desktop/app/Selfie-dataset/images/10251420_634559223281087_363214476_a.jpg
20908,4.481,/home/sanchit/Desktop/app/Selfie-dataset/images/10254137_385404391601178_1175110457_a.jpg
25466,5.322,/home/sanchit/Desktop/app/Selfie-dataset/images/1170176_1529727147253782_1342935643_a.jpg
43175,4.388,/home/sanchit/Desktop/app/Selfie-dataset/images/927020_228000017408347_300261047_a.jpg
105,2.0,/home/sanchit/Desktop/app/blurData/motion_blurred/43_HONOR-8X_M.jpg
75,3,/home/sanchit/Desktop/app/manual_dataset/3/IMG_20191214_232911.jpg
45999,4.346,/home/sanchit/Desktop/app/Selfie-dataset/images/929064_230558617151247_1964253474_a.jpg
27768,4.413,/home/sanchit/Desktop/app/Selfie-dataset/images/1172105_1393432750935891_1359468057_a.jpg
37637,4.19,/home/sanchit/Desktop/app/Selfie-dataset/images/1799607_501095106662811_1307830819_a.jpg
23836,4.365,/home/sanchit/Desktop/app/Selfie-dataset/images/10261191_1394748484137970_1195982484_a.jpg
1327,7,/home/sanchit/Desktop/app/menWomen/women/00001915.jpeg
21325,3.947,/home/sanchit/Desktop/app/Selfie-dataset/images/10254180_1376992145916700_1627681055_a.jpg
32375,3.613,/home/sanchit/Desktop/app/Selfie-dataset/images/1516392_273836142793501_373422592_a.jpg
22389,3.779,/home/sanchit/Desktop/app/Selfie-dataset/images/10254292_230316140493844_516582431_a.jpg
645,1,/home/sanchit/Desktop/app/fashionData/badSamples/img_00055609.jpg
18650,4.222,/home/sanchit/Desktop/app/Selfie-dataset/images/10251466_652595284778201_700372426_a.jpg
34698,5.138,/home/sanchit/Desktop/app/Selfie-dataset/images/1530615_472445369551949_1014650521_a.jpg
14125,4.535,/home/sanchit/Desktop/app/Selfie-dataset/images/10246047_239283259608487_2139665198_a.jpg
4351,5.411,/home/sanchit/Desktop/app/Selfie-dataset/images/10011384_287537174739714_960121014_a.jpg
18455,5.244,/home/sanchit/Desktop/app/Selfie-dataset/images/10251452_1423560167901018_586113471_a.jpg
61,2.0,/home/sanchit/Desktop/app/blurData/defocused_blurred/116_BQ-5512L_F.jpg
43890,4.775,/home/sanchit/Desktop/app/Selfie-dataset/images/927268_538146356302971_1907364620_a.jpg
32028,5.02,/home/sanchit/Desktop/app/Selfie-dataset/images/1516140_1479005092317569_113865798_a.jpg
8484,4.482,/home/sanchit/Desktop/app/Selfie-dataset/images/10175101_525716460870970_440325624_a.jpg
53,2.0,/home/sanchit/Desktop/app/blurData/defocused_blurred/107_XIAOMI-MI8-SE_F.jpg
41215,4.269,/home/sanchit/Desktop/app/Selfie-dataset/images/925478_883581018334650_1616823187_a.jpg
14688,3.951,/home/sanchit/Desktop/app/Selfie-dataset/images/10246089_545448985571081_1848493319_a.jpg
7402,3.477,/home/sanchit/Desktop/app/Selfie-dataset/images/10013208_647900318591055_1733276279_a.jpg
32981,5.612,/home/sanchit/Desktop/app/Selfie-dataset/images/1516738_766021040082919_716438982_a.jpg
723,2,/home/sanchit/Desktop/app/fashionData/badSamples/img_00053919.jpg
20266,4.821,/home/sanchit/Desktop/app/Selfie-dataset/images/10254072_268590486655495_1829952359_a.jpg
2653,4.991,/home/sanchit/Desktop/app/Selfie-dataset/images/10009793_649413501813335_1807955811_a.jpg
283,2,/home/sanchit/Desktop/app/fashionData/badSamples/img_00023389.jpg
38137,3.948,/home/sanchit/Desktop/app/Selfie-dataset/images/1922110_630689463678503_1674212049_a.jpg
9972,5.021,/home/sanchit/Desktop/app/Selfie-dataset/images/10175227_224163331124837_43455105_a.jpg
16256,4.107,/home/sanchit/Desktop/app/Selfie-dataset/images/10246214_235611909895931_1090425963_a.jpg
10028,4.039,/home/sanchit/Desktop/app/Selfie-dataset/images/10175233_375362262602619_2072534072_a.jpg
1110,7,/home/sanchit/Desktop/app/menWomen/men/00000186.jpg
31500,3.376,/home/sanchit/Desktop/app/Selfie-dataset/images/1515931_1466811503550513_360354059_a.jpg
35478,4.542,/home/sanchit/Desktop/app/Selfie-dataset/images/1530880_700489326668831_878051562_a.jpg
46682,5.494,/home/sanchit/Desktop/app/Selfie-dataset/images/cd00ea4eb30b11e3b14f0e94fcbcd8ca_6.jpg
2556,5,/home/sanchit/Desktop/app/fashionData/goodSamples/img_00046793.jpg
4846,5.051,/home/sanchit/Desktop/app/Selfie-dataset/images/10011483_1412403165686538_659335181_a.jpg
22844,5.044,/home/sanchit/Desktop/app/Selfie-dataset/images/10254346_659375564097614_711248524_a.jpg
25117,4.143,/home/sanchit/Desktop/app/Selfie-dataset/images/1169991_442052999273440_1067817718_a.jpg
29129,4.462,/home/sanchit/Desktop/app/Selfie-dataset/images/1388933_700755873316607_98188105_a.jpg
36272,5.346,/home/sanchit/Desktop/app/Selfie-dataset/images/1596805_1400064330269283_268081402_a.jpg
19991,5.75,/home/sanchit/Desktop/app/Selfie-dataset/images/10251564_826562834023939_1531215423_a.jpg
15341,4.367,/home/sanchit/Desktop/app/Selfie-dataset/images/10246140_456009937865223_460033211_a.jpg
23965,2.972,/home/sanchit/Desktop/app/Selfie-dataset/images/10261215_1458775647688584_1632074058_a.jpg
45828,4.41,/home/sanchit/Desktop/app/Selfie-dataset/images/929051_699095476813689_1729723242_a.jpg
21712,5.109,/home/sanchit/Desktop/app/Selfie-dataset/images/10254221_742033335829373_510236430_a.jpg
17256,3.39,/home/sanchit/Desktop/app/Selfie-dataset/images/10249145_1437203553185751_1383334073_a.jpg
10897,5.049,/home/sanchit/Desktop/app/Selfie-dataset/images/10175305_1436982293209913_727365537_a.jpg
3020,3.583,/home/sanchit/Desktop/app/Selfie-dataset/images/10009919_556940351087315_1296896124_a.jpg
596,2,/home/sanchit/Desktop/app/manual_dataset/2/IMG-20200528-WA0061.jpg
457,3,/home/sanchit/Desktop/app/fashionData/badSamples/img_00042258.jpg
31212,4.486,/home/sanchit/Desktop/app/Selfie-dataset/images/1515849_621138424637885_116220043_a.jpg
32350,5.208,/home/sanchit/Desktop/app/Selfie-dataset/images/1516368_295886930562131_840761520_a.jpg
7011,5.572,/home/sanchit/Desktop/app/Selfie-dataset/images/10013151_1399992710277155_1980772501_a.jpg
22337,3.398,/home/sanchit/Desktop/app/Selfie-dataset/images/10254285_859722027387475_124461746_a.jpg
33806,2.746,/home/sanchit/Desktop/app/Selfie-dataset/images/1527513_304669809657665_1076374673_a.jpg
9601,4.608,/home/sanchit/Desktop/app/Selfie-dataset/images/10175198_485603754902205_1112491004_a.jpg
24688,5.217,/home/sanchit/Desktop/app/Selfie-dataset/images/1168736_212128085664246_1095252423_a.jpg
615,3.063,/home/sanchit/Desktop/app/Selfie-dataset/images/10005266_492060980906221_1259687928_a.jpg
28162,5.27,/home/sanchit/Desktop/app/Selfie-dataset/images/1172206_505035072931502_1180855362_a.jpg
34144,3.797,/home/sanchit/Desktop/app/Selfie-dataset/images/1527663_652138321508243_1143306655_a.jpg
38831,5.309,/home/sanchit/Desktop/app/Selfie-dataset/images/1941280_238029846399816_813522955_a.jpg
27961,4.782,/home/sanchit/Desktop/app/Selfie-dataset/images/1172152_226018014260430_1628295366_a.jpg
7624,4.764,/home/sanchit/Desktop/app/Selfie-dataset/images/10013249_245245025599848_354547564_a.jpg
30005,5.027,/home/sanchit/Desktop/app/Selfie-dataset/images/1515155_271890042982023_4081570_a.jpg
920,6,/home/sanchit/Desktop/app/menWomen/men/00000774.jpg
20962,5.063,/home/sanchit/Desktop/app/Selfie-dataset/images/10254145_291857627637531_1802168886_a.jpg
225,2,/home/sanchit/Desktop/app/fashionData/badSamples/img_00053664.jpg
263,7,/home/sanchit/Desktop/app/menWomen/women/00001496.jpg
5089,3.873,/home/sanchit/Desktop/app/Selfie-dataset/images/10012431_1394909780788025_1791978955_a.jpg
28796,4.298,/home/sanchit/Desktop/app/Selfie-dataset/images/1209647_1439555442950489_1140944539_a.jpg
36087,2.877,/home/sanchit/Desktop/app/Selfie-dataset/images/1538603_585775711517676_1532372587_a.jpg
197,2.0,/home/sanchit/Desktop/app/blurData/defocused_blurred/228_ASUS-ZENFONE-LIVE-ZB501KL_F.jpg
12626,4.13,/home/sanchit/Desktop/app/Selfie-dataset/images/10245928_292745800874899_395193019_a.jpg
15498,4.305,/home/sanchit/Desktop/app/Selfie-dataset/images/10246151_642385285841376_1604528812_a.jpg
2483,5.087,/home/sanchit/Desktop/app/Selfie-dataset/images/10009404_270020519843421_709209364_a.jpg
35166,3.604,/home/sanchit/Desktop/app/Selfie-dataset/images/1530832_616934278395448_1205034390_a.jpg
17497,4.208,/home/sanchit/Desktop/app/Selfie-dataset/images/10249162_1424203011167868_1211674163_a.jpg
26158,5.095,/home/sanchit/Desktop/app/Selfie-dataset/images/1171046_1414730038787116_2065531518_a.jpg
35652,3.723,/home/sanchit/Desktop/app/Selfie-dataset/images/1530906_607493922669611_431708087_a.jpg
24333,5.266,/home/sanchit/Desktop/app/Selfie-dataset/images/10261278_471898956272847_1107305373_a.jpg
30759,2.38,/home/sanchit/Desktop/app/Selfie-dataset/images/1515712_612210068859353_842386160_a.jpg
13925,3.37,/home/sanchit/Desktop/app/Selfie-dataset/images/10246029_305849339569323_141538136_a.jpg
116,7,/home/sanchit/Desktop/app/fashionData/goodSamples/img_00047154.jpg
18594,2.708,/home/sanchit/Desktop/app/Selfie-dataset/images/10251463_1432794700301858_500828677_a.jpg
5968,4.293,/home/sanchit/Desktop/app/Selfie-dataset/images/10012980_300203376796570_1625642140_a.jpg
1145,4.307,/home/sanchit/Desktop/app/Selfie-dataset/images/10005571_698433803512758_1000809177_a.jpg
26460,5.085,/home/sanchit/Desktop/app/Selfie-dataset/images/1171231_1439613676278795_794670747_a.jpg
29387,3.467,/home/sanchit/Desktop/app/Selfie-dataset/images/1389488_645527012149085_1980829471_a.jpg
45234,4.472,/home/sanchit/Desktop/app/Selfie-dataset/images/928246_646203872123360_1529278612_a.jpg
27336,4.132,/home/sanchit/Desktop/app/Selfie-dataset/images/1171994_298542276964380_615611485_a.jpg
